"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",45.8287660724687,0.483000333767507,94.8835080816495,0
"GDP",0.0001068391024598,1.02693228263924e-05,10.4037144674449,6.43261508632806e-25
"Schooling",1.85888165075821,0.045001781862794,41.3068455028238,2.14877940517986e-294
"Alcohol",0.0656920681961359,0.0357414512548764,1.83797987741679,0.0661664156427273
